Phenotype,N,UKB_Cases,UKB_Controls,UKB_prevalence,h2_SNP,h2_SNP_SE,Global_prevalence,h2_SNP_LIAB,AUC_SNP_LIAB,SE_AUC_SNP_LIAB,AUC_PRS,AUC_PRS_SE,AUC 95% CI Lower,AUC 95% CI Upper,# cases in AUC_PRS test set
Asthma,"418,114",46481,371633,0.11116825,0.096441,0.001907,0.038,0.1909435,0.7690525,0.001337734,0.570385591,0.002645287,0.565200828,0.575570353,23226
Colorectal Cancer,"418,114",1008,417106,0.00241083,0.004923,0.001337,0.0002,0.1425083,0.8525943,0.007577502,0.509341,0.017901429,0.4742542,0.5444278,521
Crohn's Disease,"418,114",2157,415957,0.00515888,0.01525,0.001525,0.000245,0.2125147,0.9006373,0.004436108,0.5435885,0.012640459,0.5188132,0.5683638,1034
Hypertension,"418,114",136545,281569,0.32657361,0.170795,0.002125,0.4,0.2996963,0.7556099,0.000843133,0.573479778,0.001542784,0.570455921,0.576503636,68123
Inflammatory Bowel Disease,"418,114",4743,413371,0.011343796,0.02386,0.001576,0.013,0.3125642,0.8686939,0.003348384,0.55298417,0.008417475,0.536485919,0.569482422,2319
Obesity,"418,114",98757,319357,0.236196,0.202137,0.002176,0.13,0.3202658,0.7963073,0.000902245,0.5795424,0.001807474,0.5759998,0.5830851,49395
Parkinson's Disease,"418,114",1687,416427,0.00403478,0.005655,0.001383,0.0013,0.1293774,0.8066537,0.006429534,0.520842173,0.014107679,0.493191123,0.548493223,837
Prostate Cancer,"418,114",8136,409978,0.01945881,0.03092,0.001634,0.0001,0.1033984,0.8220188,0.00285776,0.584681303,0.006250793,0.572429748,0.596932857,4111
Rheumatoid Arthritis,"418,114",6628,411486,0.01585214,0.023492,0.001453,0.0004,0.1152735,0.8138908,0.003211245,0.583110659,0.006962676,0.569463815,0.596757504,3321
Schizophrenia,"418,114",807,417307,0.0019301,0.005911,0.001378,0.003,0.3279349,0.9111023,0.006918406,,,,,
Type 1 Diabetes,"418,114",2960,415154,0.00707941,0.0265,0.001475,0.05,0.7996574,0.9643765,0.002387622,0.641360063,0.010086431,0.621590657,0.661129468,1478
Type 2 Diabetes,"418,114",22468,395646,0.05373654,0.080914,0.001866,0.085,0.3975152,0.8435838,0.001652992,0.5853891,0.003787398,0.5779658,0.5928124,11196
Ulcerative Colitis,"418,114",3806,414308,0.00910278,0.021692,0.001532,0.00016,0.1626641,0.8731537,0.003687145,0.56618363,0.009366466,0.547825356,0.584541903,1860
